iter	Passed	Remaining
412	2939	4178
413	2944	4168
414	2950	4158
415	2954	4147
416	2959	4137
417	2964	4127
418	2969	4117
419	2974	4107
420	2979	4097
421	2984	4087
422	2989	4077
423	2994	4068
424	2999	4058
425	3005	4049
426	3010	4040
427	3015	4030
428	3020	4020
429	3024	4009
430	3029	3999
431	3034	3989
432	3039	3979
433	3044	3969
434	3048	3959
435	3053	3950
436	3057	3939
437	3062	3929
438	3067	3919
439	3072	3910
440	3076	3899
441	3081	3889
442	3087	3882
443	3093	3873
444	3098	3864
445	3103	3855
446	3109	3846
447	3115	3838
448	3120	3829
449	3126	3821
450	3131	3811
451	3136	3802
452	3141	3793
453	3146	3784
454	3151	3775
455	3156	3765
456	3161	3756
457	3166	3746
458	3170	3737
459	3176	3729
460	3181	3719
461	3186	3710
462	3193	3703
463	3203	3700
464	3208	3691
465	3213	3682
466	3218	3673
467	3223	3664
468	3228	3654
469	3232	3645
470	3237	3636
471	3242	3627
472	3247	3618
473	3252	3609
474	3257	3600
475	3262	3591
476	3267	3582
477	3272	3573
478	3277	3564
479	3282	3555
480	3287	3546
481	3291	3537
482	3299	3531
483	3304	3522
484	3309	3514
485	3314	3505
486	3319	3497
487	3324	3488
488	3332	3482
489	3337	3473
490	3342	3465
491	3347	3456
492	3352	3447
493	3357	3438
494	3362	3429
495	3367	3421
496	3371	3412
497	3376	3403
498	3381	3394
499	3386	3386
500	3391	3377
501	3396	3369
502	3401	3361
503	3406	3352
504	3411	3343
505	3416	3335
506	3421	3326
507	3426	3318
508	3431	3310
509	3435	3301
510	3440	3292
511	3445	3283
512	3450	3275
513	3454	3266
514	3459	3258
515	3464	3249
516	3469	3241
517	3474	3233
518	3479	3224
519	3484	3216
520	3488	3207
521	3493	3199
522	3498	3190
523	3502	3182
524	3509	3175
525	3514	3166
526	3519	3158
527	3524	3150
528	3529	3142
529	3537	3137
530	3544	3130
531	3549	3122
532	3554	3114
533	3559	3106
534	3564	3097
535	3568	3089
536	3573	3081
537	3578	3073
538	3583	3065
539	3588	3057
540	3593	3048
541	3599	3041
542	3605	3034
543	3612	3028
544	3618	3020
545	3625	3014
546	3629	3005
547	3634	2997
548	3641	2991
549	3646	2983
550	3653	2977
551	3662	2972
552	3670	2966
553	3676	2959
554	3681	2951
555	3690	2947
556	3696	2940
557	3711	2940
558	3721	2935
559	3729	2929
560	3738	2925
561	3755	2926
562	3785	2938
563	3791	2931
564	3801	2927
565	3808	2920
566	3817	2915
567	3823	2907
568	3830	2901
569	3838	2895
570	3843	2887
571	3849	2880
572	3855	2872
573	3860	2865
574	3866	2857
575	3871	2849
576	3876	2842
577	3882	2834
578	3887	2826
579	3892	2818
580	3897	2810
581	3902	2803
582	3907	2795
583	3916	2789
584	3923	2783
585	3927	2774
586	3932	2766
587	3937	2759
588	3943	2751
589	3948	2744
590	3954	2736
591	3959	2728
592	3963	2720
593	3968	2712
594	3974	2705
595	3978	2697
596	3984	2689
597	3989	2681
598	3994	2674
599	4000	2667
600	4007	2660
601	4012	2652
602	4017	2644
603	4021	2636
604	4026	2629
605	4031	2621
606	4035	2613
607	4040	2605
608	4045	2597
609	4050	2589
610	4055	2581
611	4060	2574
612	4065	2566
613	4069	2558
614	4074	2550
615	4079	2542
616	4084	2535
617	4089	2527
618	4093	2519
619	4098	2512
620	4103	2504
621	4108	2496
622	4113	2489
623	4120	2482
624	4125	2475
625	4130	2467
626	4135	2460
627	4140	2452
628	4145	2444
629	4150	2437
630	4155	2429
631	4160	2422
632	4165	2415
633	4170	2407
634	4174	2399
635	4179	2392
636	4184	2384
637	4189	2377
638	4194	2369
639	4199	2362
640	4203	2354
641	4208	2346
642	4213	2339
643	4217	2331
644	4223	2324
645	4228	2317
646	4233	2309
647	4238	2302
648	4242	2294
649	4247	2287
650	4252	2279
651	4258	2272
652	4263	2265
653	4268	2258
654	4272	2250
655	4277	2243
656	4283	2236
657	4288	2228
658	4293	2221
659	4298	2214
660	4302	2206
661	4307	2199
662	4312	2192
663	4317	2184
664	4322	2177
665	4329	2171
666	4334	2164
667	4339	2156
668	4344	2149
669	4349	2142
670	4354	2135
671	4359	2127
672	4364	2120
673	4370	2113
674	4375	2106
675	4380	2099
676	4385	2092
677	4389	2084
678	4394	2077
679	4399	2070
680	4405	2063
681	4411	2057
682	4416	2050
683	4422	2042
684	4426	2035
685	4432	2028
686	4436	2021
687	4441	2014
688	4446	2007
689	4451	1999
690	4456	1992
691	4461	1985
692	4465	1978
693	4470	1971
694	4475	1964
695	4480	1956
696	4484	1949
697	4490	1942
698	4495	1935
699	4500	1928
700	4505	1921
701	4510	1914
702	4515	1907
703	4520	1900
704	4524	1893
705	4529	1886
706	4535	1879
707	4541	1872
708	4546	1866
709	4551	1858
710	4556	1851
711	4561	1845
712	4566	1838
713	4571	1831
714	4576	1824
715	4581	1817
716	4585	1810
717	4590	1803
718	4595	1796
719	4600	1789
720	4605	1782
721	4611	1775
722	4615	1768
723	4620	1761
724	4625	1754
725	4630	1747
726	4635	1740
727	4641	1734
728	4646	1727
729	4652	1720
730	4657	1714
731	4663	1707
732	4668	1700
733	4674	1693
734	4679	1687
735	4685	1680
736	4690	1673
737	4695	1667
738	4701	1660
739	4706	1653
740	4711	1646
741	4717	1640
742	4722	1633
743	4728	1627
744	4734	1620
745	4739	1613
746	4748	1608
747	4754	1601
748	4760	1595
749	4765	1588
750	4771	1581
751	4776	1575
752	4781	1568
753	4787	1562
754	4797	1556
755	4802	1550
756	4807	1543
757	4812	1536
758	4817	1529
759	4821	1522
760	4826	1515
761	4831	1509
762	4836	1502
763	4841	1495
764	4845	1488
765	4851	1481
766	4855	1475
767	4860	1468
768	4865	1461
769	4870	1454
770	4874	1447
771	4879	1441
772	4884	1434
773	4889	1427
774	4895	1421
775	4900	1414
776	4905	1407
777	4910	1401
778	4915	1394
779	4920	1387
780	4925	1381
781	4930	1374
782	4935	1367
783	4939	1360
784	4944	1354
785	4949	1347
786	4954	1340
787	4960	1334
788	4966	1328
789	4971	1321
790	4976	1314
791	4980	1308
792	4985	1301
793	4990	1294
794	4995	1288
795	5000	1281
796	5005	1274
797	5009	1268
798	5014	1261
799	5019	1254
800	5024	1248
801	5029	1241
802	5034	1235
803	5038	1228
804	5043	1221
805	5048	1215
806	5052	1208
807	5057	1201
808	5061	1195
809	5066	1188
810	5071	1181
811	5076	1175
812	5081	1168
813	5085	1162
814	5090	1155
815	5095	1149
816	5100	1142
817	5105	1136
818	5110	1129
819	5114	1122
820	5120	1116
821	5125	1109
822	5130	1103
823	5134	1096
824	5141	1090
825	5147	1084
826	5153	1078
827	5159	1071
828	5164	1065
829	5169	1058
830	5174	1052
831	5180	1046
832	5186	1039
833	5191	1033
834	5196	1026
835	5201	1020
836	5206	1013
837	5211	1007
838	5216	1000
839	5220	994
840	5225	988
841	5230	981
842	5235	975
843	5239	968
844	5244	961
845	5249	955
846	5254	949
847	5259	942
848	5264	936
849	5268	929
850	5273	923
851	5278	916
852	5283	910
853	5288	904
854	5292	897
855	5297	891
856	5301	884
857	5306	878
858	5310	871
859	5315	865
860	5321	859
861	5326	852
862	5331	846
863	5335	839
864	5340	833
865	5345	827
866	5349	820
867	5354	814
868	5359	807
869	5365	801
870	5370	795
871	5375	789
872	5381	782
873	5385	776
874	5390	770
875	5395	763
876	5400	757
877	5405	751
878	5410	744
879	5415	738
880	5420	732
881	5425	725
882	5429	719
883	5434	713
884	5439	706
885	5444	700
886	5449	694
887	5453	687
888	5459	681
889	5464	675
890	5468	669
891	5473	662
892	5478	656
893	5483	650
894	5488	643
895	5493	637
896	5498	631
897	5503	625
898	5508	618
899	5512	612
900	5517	606
901	5521	599
902	5526	593
903	5531	587
904	5535	581
905	5540	574
906	5544	568
907	5549	562
908	5554	556
909	5558	549
910	5563	543
911	5572	537
912	5578	531
913	5583	525
914	5588	519
915	5593	512
916	5598	506
917	5603	500
918	5608	494
919	5613	488
920	5619	482
921	5624	475
922	5630	469
923	5635	463
924	5641	457
925	5646	451
926	5652	445
927	5657	438
928	5662	432
929	5667	426
930	5673	420
931	5678	414
932	5684	408
933	5689	402
934	5695	395
935	5701	389
936	5707	383
937	5713	377
938	5719	371
939	5725	365
940	5730	359
941	5735	353
942	5740	347
943	5746	340
944	5751	334
945	5756	328
946	5763	322
947	5768	316
948	5773	310
949	5780	304
950	5785	298
951	5790	291
952	5795	285
953	5799	279
954	5804	273
955	5809	267
956	5814	261
957	5819	255
958	5824	249
959	5829	242
960	5834	236
961	5839	230
962	5844	224
963	5849	218
964	5854	212
965	5859	206
966	5864	200
967	5868	194
968	5873	187
969	5878	181
970	5883	175
971	5888	169
972	5893	163
973	5898	157
974	5903	151
975	5908	145
976	5913	139
977	5917	133
978	5922	127
979	5927	120
980	5932	114
981	5937	108
982	5941	102
983	5948	96
984	5955	90
985	5960	84
986	5965	78
987	5970	72
988	5977	66
989	5983	60
990	5989	54
991	5994	48
992	5999	42
993	6004	36
994	6009	30
995	6014	24
996	6020	18
997	6025	12
998	6030	6
999	6035	0
