iter	MultiClass
155	0.6054984564
156	0.6040607362
157	0.6031913626
158	0.6015572302
159	0.5990694902
160	0.596928749
161	0.595280984
162	0.5932492429
163	0.5927936695
164	0.5900745692
165	0.5882825933
166	0.585150162
167	0.5830856725
168	0.5819456526
169	0.5810097064
170	0.5803598668
171	0.5795282812
172	0.5781432572
173	0.5758003394
174	0.5735410791
175	0.5728266711
176	0.5718052523
177	0.5707573818
178	0.5687183521
179	0.5670890826
180	0.5653462815
181	0.5631306236
182	0.5628713194
183	0.560925067
184	0.5607155499
185	0.5590717108
186	0.5576675938
187	0.5565389574
188	0.5549963288
189	0.5526128691
190	0.5513364193
191	0.5509594732
192	0.5491357676
193	0.5475475871
194	0.5470719561
195	0.5450509497
196	0.5433703732
197	0.5430165593
198	0.5415949148
199	0.5400034755
200	0.5389468761
201	0.5380461205
202	0.5367230122
203	0.5347849178
204	0.5330256945
205	0.5320054478
206	0.5315716541
207	0.5305804348
208	0.5283426571
209	0.5264619885
210	0.52516544
211	0.5229840482
212	0.5220421422
213	0.5215967361
214	0.5197516819
215	0.5176724301
216	0.5174666479
217	0.5164065939
218	0.5152785299
219	0.5143288533
220	0.5128939202
221	0.5104050546
222	0.509182444
223	0.5074469898
224	0.5066171406
225	0.5063651648
226	0.5053488067
227	0.5040446131
228	0.5022667684
229	0.5010578113
230	0.4996353878
231	0.4978076112
232	0.4965072671
233	0.4953014314
234	0.4934809697
235	0.4920190789
236	0.4905363926
237	0.4900365258
238	0.4885718086
239	0.4876432739
240	0.4861953692
241	0.4851527004
242	0.4838767972
243	0.4828536928
244	0.4823934439
245	0.4813742083
246	0.4795724225
247	0.4794726571
248	0.4786669075
249	0.4772166999
250	0.4748808932
251	0.4729721671
252	0.472508922
253	0.4716236131
254	0.4709426424
255	0.4708269364
256	0.4700675794
257	0.4690015897
258	0.467942431
259	0.4667160518
260	0.4655045536
261	0.4642913138
262	0.4633788578
263	0.4631872403
264	0.462657567
265	0.461777481
266	0.4606912004
267	0.4588853853
268	0.4572587861
269	0.4564600829
270	0.4548219339
271	0.4536814712
272	0.4528278061
273	0.4521141471
274	0.4517948971
275	0.450945924
276	0.4501999407
277	0.4486235203
278	0.4472826514
279	0.4457375481
280	0.4447143572
281	0.4435061101
282	0.4422289933
283	0.4410373567
284	0.4404873575
285	0.4391558026
286	0.4387203387
287	0.4372718437
288	0.4352529156
289	0.4341634865
290	0.4329838331
291	0.4315452802
292	0.4307509089
293	0.4292227019
294	0.4279141621
295	0.4272684423
296	0.4257729481
297	0.4254708944
298	0.4250854771
299	0.4241879397
300	0.4231643387
301	0.4227359149
302	0.42091763
303	0.4185987389
304	0.4178714381
305	0.4171164088
306	0.4165001366
307	0.4153477944
308	0.4136671436
309	0.4127225868
310	0.412009835
311	0.4110149587
312	0.4107627348
313	0.410247827
314	0.4096285887
315	0.408619454
316	0.4073478998
317	0.4068118311
318	0.4052536864
319	0.403925767
320	0.4029432886
321	0.4017367459
322	0.4012759481
323	0.4005099364
324	0.3997586331
325	0.3992860551
326	0.3989126592
327	0.3978798768
328	0.3974896959
329	0.3964023966
330	0.3957734721
331	0.3953259889
332	0.3941955216
333	0.3930442607
334	0.3921130675
335	0.3915424411
336	0.3899882889
337	0.3893803995
338	0.3880445231
339	0.3872409564
340	0.3861846125
341	0.3849806847
342	0.3840725702
343	0.3830570579
344	0.3817569656
345	0.3813711942
346	0.3803469318
347	0.3798651939
348	0.3795559856
349	0.3788108992
350	0.378171917
351	0.3771563141
352	0.3767619224
353	0.3763533243
354	0.3752388451
355	0.3744563613
356	0.3733931545
357	0.3722566893
358	0.3711756271
359	0.3702041436
360	0.3697355574
361	0.3690605211
362	0.3684615455
363	0.3673614238
364	0.365888107
365	0.3646609327
366	0.3636897072
367	0.3627131922
368	0.3613092166
369	0.3608577799
370	0.3598247602
371	0.3586746826
372	0.3581911512
373	0.3571682986
374	0.3563248631
375	0.3558112724
376	0.354984494
377	0.3538753957
378	0.3533817299
379	0.3524847621
380	0.3519486371
381	0.3504437572
382	0.3493528313
383	0.3488133261
384	0.3482162883
385	0.347552737
386	0.346450816
387	0.3460176245
388	0.3447946433
389	0.344235715
390	0.3431720362
391	0.3423134721
392	0.341357957
393	0.3402837565
394	0.3391658033
395	0.3388539737
396	0.3378463973
397	0.3374679088
398	0.3367036103
399	0.3361042628
400	0.3354035763
401	0.334723821
402	0.3334300323
403	0.3326661771
404	0.3317589102
405	0.3306676658
406	0.3298001355
407	0.3286802121
408	0.327963459
409	0.3272363233
410	0.325674384
411	0.3249851126
412	0.3243473427
413	0.3235955833
414	0.3229208022
415	0.3223096949
416	0.3205609608
417	0.3199624187
418	0.3192312722
419	0.3189803465
420	0.3183445615
421	0.3178236643
422	0.3170019668
423	0.3166378882
424	0.3155261721
425	0.3148330442
426	0.3140499011
427	0.312996498
428	0.3121699881
429	0.3118894525
430	0.3112675617
431	0.3106599352
432	0.3100305949
433	0.309536198
434	0.3088754134
435	0.3082622525
436	0.3071628239
437	0.306800525
438	0.3062184181
439	0.3052102535
440	0.3044596698
441	0.3037737151
442	0.3034469929
443	0.3029307238
444	0.3018283607
445	0.3015421962
446	0.3010619813
447	0.3007592667
448	0.3001098367
449	0.2991075289
450	0.2984378976
451	0.2976225103
452	0.2972113829
453	0.296756905
454	0.2959439415
455	0.2950936608
456	0.2944759364
457	0.2941433535
458	0.2932525754
459	0.2924725414
460	0.291514797
461	0.2912691288
462	0.2909455696
463	0.2903878937
464	0.2897603569
465	0.2892159203
466	0.2884682637
467	0.2878628481
468	0.2876048883
469	0.287236106
470	0.2868602329
471	0.2861014802
472	0.2853816974
473	0.2847116714
474	0.2838509899
475	0.2833238779
476	0.2827214625
477	0.2820152851
478	0.2814606569
479	0.2808708361
480	0.280700967
481	0.2795894255
482	0.2789370655
483	0.2779706667
484	0.2775390093
485	0.2768950926
486	0.2762565057
487	0.2758495925
488	0.2752522326
489	0.2748036334
490	0.274177918
491	0.2738789829
492	0.2737072423
493	0.2733675477
494	0.272744576
495	0.2723320262
496	0.2717732211
497	0.2711909306
498	0.2710442102
499	0.270315276
500	0.2697900908
501	0.2693636624
502	0.2686328783
503	0.2675414037
504	0.2670460036
505	0.266661549
506	0.2662586739
507	0.2655380019
508	0.2647193082
509	0.2638222865
510	0.2634833969
511	0.2633136628
512	0.2628510879
513	0.2620008499
514	0.2616930019
515	0.2614087165
516	0.2608279533
517	0.2601702565
518	0.259638714
519	0.259214238
520	0.2583646804
521	0.2576674392
522	0.2572036413
523	0.2567300471
524	0.2563012251
525	0.2557138137
526	0.2551916353
527	0.2549476675
528	0.2547238002
529	0.2542738686
530	0.2536364888
531	0.2530575259
532	0.2527451464
533	0.2523900485
534	0.2522672625
535	0.2514058869
536	0.2509962527
537	0.2503572378
538	0.250245179
539	0.249799409
540	0.2494583424
541	0.2487802117
542	0.2480561993
543	0.2473769346
544	0.2471545245
545	0.2466589498
546	0.2461261565
547	0.2456530206
548	0.2453834192
549	0.2445657459
550	0.2439009001
551	0.243440956
552	0.2430186407
553	0.2429178323
554	0.2424740653
555	0.2421681811
556	0.241776878
557	0.2415059523
558	0.2408761776
559	0.2404733048
560	0.2399667564
561	0.239619948
562	0.2389934582
563	0.2385526322
564	0.2381186543
565	0.2378426366
566	0.2370702218
567	0.2365929714
568	0.2362013983
569	0.2358940781
570	0.2353882083
571	0.2350073989
572	0.2347129623
573	0.2342616983
574	0.2341461132
575	0.2336940102
576	0.233064085
577	0.2323118517
578	0.2319360529
579	0.2314847467
580	0.2310681593
581	0.2307071312
582	0.2302809247
583	0.2297158861
584	0.2293972486
585	0.2291578302
586	0.228573265
587	0.2282648371
588	0.2277432789
589	0.2273336848
590	0.2267324339
591	0.2263401539
592	0.2261464063
593	0.2258814076
594	0.2255080344
595	0.224566318
596	0.223995807
597	0.2233484734
598	0.2228786093
599	0.2224331319
600	0.2222047559
601	0.2219572538
602	0.2214707844
603	0.2209500895
604	0.22049373
605	0.2198145099
606	0.2195318664
607	0.2192062026
608	0.2188377637
609	0.2182248187
610	0.2179578555
611	0.2176877955
612	0.21733143
613	0.2170316336
614	0.216736556
615	0.2161975862
616	0.2160123658
617	0.2156794399
618	0.2153011482
619	0.2149971956
620	0.2145778067
621	0.2143416358
622	0.2137842831
623	0.213244659
624	0.2126800802
625	0.2125399021
626	0.2123257276
627	0.2119739886
628	0.2114342621
629	0.2110424764
630	0.2107632311
631	0.2101588637
632	0.2093982065
633	0.20921051
634	0.208876802
635	0.2083185514
636	0.2077063059
637	0.2071499767
638	0.2068193629
639	0.2065051101
640	0.2062182338
641	0.2057389145
642	0.2054169304
643	0.2051615103
644	0.2048773998
645	0.2045485674
646	0.204178276
647	0.2038913089
648	0.2037609502
649	0.2034160772
650	0.2031732828
651	0.2027506179
652	0.202405584
653	0.2018765505
654	0.2013592022
655	0.2010658108
656	0.2007018282
657	0.2002953231
658	0.1999306058
659	0.1996637313
660	0.1994058036
661	0.1988364256
662	0.1984192677
663	0.1981888874
664	0.1978925668
665	0.1976447354
666	0.1973268419
667	0.1967740515
668	0.1961776177
669	0.1957994864
670	0.195413468
671	0.1951141224
672	0.1947378462
673	0.1944550867
674	0.1942089932
675	0.1940105654
676	0.1934291424
677	0.1932203616
678	0.1927563109
679	0.1924202934
680	0.1923659252
681	0.1922434572
682	0.1920124781
683	0.1919280829
684	0.1916563051
685	0.1912549582
686	0.191026933
687	0.1907021283
688	0.1903998837
689	0.1900593247
690	0.1899827653
691	0.1897775461
692	0.1895818175
693	0.1890426534
694	0.1887040835
695	0.1884227372
696	0.1882628398
697	0.1878626141
698	0.1876426843
699	0.1873223485
700	0.1870608285
701	0.1868696337
702	0.1864641724
703	0.1860788822
704	0.1858193128
705	0.1856407765
706	0.1853672061
707	0.1850622664
708	0.1846942302
709	0.1843366472
710	0.1840053895
711	0.1835624889
712	0.1833588289
713	0.1828492564
714	0.1826780799
715	0.1823942243
716	0.1821922467
717	0.1817988369
718	0.1813388928
719	0.1809652281
720	0.1807261852
721	0.1805393091
722	0.1804686753
723	0.1803101865
724	0.179960261
725	0.1797676928
726	0.1796129415
727	0.1789518064
728	0.1787289011
729	0.1783884856
730	0.1780044181
731	0.1777223569
732	0.1774443569
733	0.177208735
734	0.1769669167
735	0.176826018
736	0.1764944847
737	0.1763486314
738	0.1762030383
739	0.1758701081
740	0.175695293
741	0.1754092219
742	0.175143148
743	0.1747635213
744	0.1742940236
745	0.1740180053
746	0.1737274277
747	0.1736031831
748	0.1732401967
749	0.1729865232
750	0.1727642012
751	0.1725154216
752	0.1722810552
753	0.1721185576
754	0.1717663348
755	0.1715751985
756	0.1713049171
757	0.1711351293
758	0.1707848907
759	0.170527362
760	0.1702378091
761	0.1698629124
762	0.1695705651
763	0.1693142565
764	0.1689920919
765	0.1687998085
766	0.1684687166
767	0.1681531698
768	0.1680224186
769	0.1678121482
770	0.1676927416
771	0.1673076161
772	0.1671563608
773	0.1668910497
774	0.1665652662
775	0.1662743504
776	0.1660665104
777	0.1655930698
778	0.165292649
779	0.1649697956
780	0.1647895933
781	0.1646459092
782	0.1643825944
783	0.1640983826
784	0.1639562397
785	0.1636959049
786	0.1635373967
787	0.1633457251
788	0.163121957
789	0.1629324647
790	0.1627393891
791	0.1625735114
792	0.1621070782
793	0.1618708059
794	0.1616223706
795	0.1614384982
796	0.1611643927
797	0.1608906107
798	0.1606177183
799	0.1603589621
800	0.1598830102
801	0.1594818449
802	0.1592363052
803	0.1589759487
804	0.1585333389
805	0.1580430612
806	0.1577756464
807	0.1575076045
808	0.1573957872
809	0.1572025581
810	0.1569470397
811	0.156628045
812	0.1563897356
813	0.1562645061
814	0.1558612653
815	0.1554721978
816	0.1551952882
817	0.1549835537
818	0.1548232097
819	0.1545478398
820	0.1543751615
821	0.1540250212
822	0.1535921205
823	0.1533352954
824	0.1531161072
825	0.153002988
826	0.1529039858
827	0.1525761229
828	0.1524596763
829	0.1521892286
830	0.1519357668
831	0.1517102845
832	0.1515364106
833	0.1513930965
834	0.1510619456
835	0.1507703514
836	0.150569397
837	0.1502883814
838	0.1502226913
839	0.1499839009
840	0.1497382216
841	0.1495382341
842	0.1493029462
843	0.1491539292
844	0.1490768454
845	0.1487852425
846	0.1486709166
847	0.1485523568
848	0.1483089946
849	0.1482355844
850	0.1478599796
851	0.1477130951
852	0.147435644
853	0.1471974957
854	0.1470754982
855	0.1469163142
856	0.1467264706
857	0.1464099646
858	0.1462063482
859	0.1459354539
860	0.1458019479
861	0.1455433
862	0.1454406451
863	0.1452078724
864	0.145046891
865	0.144919413
866	0.1445965623
867	0.1444637721
868	0.1441669568
869	0.144062129
870	0.1438437226
871	0.1435044195
872	0.1433584087
873	0.1431677519
874	0.143004987
875	0.1429120404
876	0.1426960594
877	0.1425895725
878	0.1423545673
879	0.142287651
880	0.1419215276
881	0.1417318411
882	0.1414327174
883	0.1412448874
884	0.1411542838
885	0.1408843402
886	0.1405920317
887	0.140421459
888	0.1401704108
889	0.1399712229
890	0.1398489532
891	0.1395114445
892	0.1394369562
893	0.1392508213
894	0.1390362038
895	0.1389186103
896	0.1386441308
897	0.1382429097
898	0.1379598065
899	0.1377243568
900	0.1376579134
901	0.1374724873
902	0.137134957
903	0.1369485975
904	0.1366648198
905	0.13653864
906	0.1364645987
907	0.1362091609
908	0.1360305101
909	0.1358277118
910	0.1356861522
911	0.1353945725
912	0.1352386229
913	0.1349493987
914	0.1345382596
915	0.1341627819
916	0.1339502301
917	0.13387794
918	0.1337229217
919	0.1335812668
920	0.1334423813
921	0.1332274625
922	0.1331931895
923	0.1329528133
924	0.132726404
925	0.1325854715
926	0.132403257
927	0.1322293537
928	0.1321492005
929	0.1320373768
930	0.1318334926
931	0.1316225866
932	0.1313828917
933	0.1310685494
934	0.1309875109
935	0.130844883
936	0.1307260229
937	0.130296758
938	0.1302084227
939	0.1300606092
940	0.1298295089
941	0.1296162532
942	0.1294154832
943	0.1292547414
944	0.1290076932
945	0.1286248695
946	0.128450506
947	0.1283964792
948	0.1283242445
949	0.1280456096
950	0.1278824479
951	0.1277002213
952	0.1274860735
953	0.1273620913
954	0.1272049698
955	0.1271555097
956	0.1269311268
957	0.1268136244
958	0.1266036039
959	0.1264983489
960	0.1262656975
961	0.1261568128
962	0.1259991239
963	0.125864437
964	0.1255964953
965	0.1254540971
966	0.1253798426
967	0.12528801
968	0.1250229816
969	0.1249010773
970	0.1247152276
971	0.1246468762
972	0.1245319836
973	0.1243826746
974	0.1242420285
975	0.1240426961
976	0.123760118
977	0.1235373864
978	0.1233820941
979	0.1232282837
980	0.1230822695
981	0.1228486166
982	0.1226543387
983	0.1224534914
984	0.1223726147
985	0.1223540541
986	0.1221151378
987	0.1219592509
988	0.1217062519
989	0.1215044422
990	0.1214220827
991	0.1212259525
992	0.1211465793
993	0.1209802952
994	0.120859716
995	0.1207382446
996	0.1206445066
997	0.1204190777
998	0.1202655767
999	0.1201345008
